0;10;0
0.2;10;-2
0.4;9.6;-4
0.6;8.8;-5.92
0.8;7.616;-7.68
1;6.08;-9.2032
1.2;4.23936;-10.4192
1.4;2.15552;-11.2671
1.6;-0.0978944;-11.6982
1.8;-2.43753;-11.6786
2;-4.77325;-11.1911
2.2;-7.01147;-10.2364
2.4;-9.05876;-8.83415
2.6;-10.8256;-7.0224
2.8;-12.2301;-4.85728
3;-13.2015;-2.41127
3.2;-13.6838;0.229037
3.4;-13.638;2.96579
3.6;-13.0448;5.69339
3.8;-11.9061;8.30235
4;-10.2457;10.6836
4.2;-8.10895;12.7327
4.4;-5.56241;14.3545
4.6;-2.69151;15.467
4.8;0.401888;16.0053
5;3.60294;15.9249
5.2;6.78792;15.2043
5.4;9.82879;13.8467
5.6;12.5981;11.881
5.8;14.9743;9.36134
6;16.8466;6.36648
6.2;18.1199;2.99716
6.4;18.7193;-0.626819
6.6;18.594;-4.37068
6.8;17.7198;-8.08947
7;16.1019;-11.6334
7.2;13.7752;-14.8538
7.4;10.8045;-17.6089
7.6;7.2827;-19.7698
7.8;3.32875;-21.2263
8;-0.916515;-21.8921
8.2;-5.29493;-21.7088
8.4;-9.63668;-20.6498
8.6;-13.7666;-18.7224
8.8;-17.5111;-15.9691
9;-20.7049;-12.4669
9.2;-23.1983;-8.32589
9.4;-24.8635;-3.68623
9.6;-25.6007;1.28647
9.8;-25.3434;6.40661
10;-24.0621;11.4753
10.2;-21.7671;16.2877
10.4;-18.5095;20.6411
10.6;-14.3813;24.343
10.8;-9.51268;27.2193
11;-4.06882;29.1218
11.2;1.75555;29.9356
11.4;7.74267;29.5845
11.6;13.6596;28.036
11.8;19.2668;25.304
12;24.3276;21.4507
12.2;28.6177;16.5852
12.4;31.9347;10.8616
12.6;34.1071;4.47469
12.8;35.002;-2.34672
13;34.5327;-9.34713
13.2;32.6632;-16.2537
13.4;29.4125;-22.7863
13.6;24.8552;-28.6688
13.8;19.1215;-33.6399
14;12.3935;-37.4642
14.2;4.90068;-39.9429
14.4;-3.08789;-40.923
14.6;-11.2725;-40.3054
14.8;-19.3336;-38.0509
15;-26.9438;-34.1842
15.2;-33.7806;-28.7955
15.4;-39.5397;-22.0393
15.6;-43.9475;-14.1314
15.8;-46.7738;-5.34189
16;-47.8422;4.01288
0;10;0
0.2;10;-2
0.4;9.6;-4
0.6;8.8;-5.92
0.8;7.616;-7.68
1;6.08;-9.2032
1.2;4.23936;-10.4192
1.4;2.15552;-11.2671
1.6;-0.0978944;-11.6982
1.8;-2.43753;-11.6786
2;-4.77325;-11.1911
2.2;-7.01147;-10.2364
2.4;-9.05876;-8.83415
2.6;-10.8256;-7.0224
2.8;-12.2301;-4.85728
3;-13.2015;-2.41127
3.2;-13.6838;0.229037
3.4;-13.638;2.96579
3.6;-13.0448;5.69339
3.8;-11.9061;8.30235
4;-10.2457;10.6836
4.2;-8.10895;12.7327
4.4;-5.56241;14.3545
4.6;-2.69151;15.467
4.8;0.401888;16.0053
5;3.60294;15.9249
5.2;6.78792;15.2043
5.4;9.82879;13.8467
5.6;12.5981;11.881
5.8;14.9743;9.36134
6;16.8466;6.36648
6.2;18.1199;2.99716
6.4;18.7193;-0.626819
6.6;18.594;-4.37068
6.8;17.7198;-8.08947
7;16.1019;-11.6334
7.2;13.7752;-14.8538
7.4;10.8045;-17.6089
7.6;7.2827;-19.7698
7.8;3.32875;-21.2263
8;-0.916515;-21.8921
8.2;-5.29493;-21.7088
8.4;-9.63668;-20.6498
8.6;-13.7666;-18.7224
8.8;-17.5111;-15.9691
9;-20.7049;-12.4669
9.2;-23.1983;-8.32589
9.4;-24.8635;-3.68623
9.6;-25.6007;1.28647
9.8;-25.3434;6.40661
10;-24.0621;11.4753
10.2;-21.7671;16.2877
10.4;-18.5095;20.6411
10.6;-14.3813;24.343
10.8;-9.51268;27.2193
11;-4.06882;29.1218
11.2;1.75555;29.9356
11.4;7.74267;29.5845
11.6;13.6596;28.036
11.8;19.2668;25.304
12;24.3276;21.4507
12.2;28.6177;16.5852
12.4;31.9347;10.8616
12.6;34.1071;4.47469
12.8;35.002;-2.34672
13;34.5327;-9.34713
13.2;32.6632;-16.2537
13.4;29.4125;-22.7863
13.6;24.8552;-28.6688
13.8;19.1215;-33.6399
14;12.3935;-37.4642
14.2;4.90068;-39.9429
14.4;-3.08789;-40.923
14.6;-11.2725;-40.3054
14.8;-19.3336;-38.0509
15;-26.9438;-34.1842
15.2;-33.7806;-28.7955
15.4;-39.5397;-22.0393
15.6;-43.9475;-14.1314
15.8;-46.7738;-5.34189
16;-47.8422;4.01288
