0;1
0,1;0,99005
0,2;0,960789
0,3;0,913931
0,4;0,852144
0,5;0,778801
0,6;0,697676
0,7;0,612627
0,8;0,527293
0,9;0,444859
1;0,367881
1,1;0,2982
1,2;0,236931
1,3;0,184524
1,4;0,140864
1,5;0,105406
1,6;0,0773117
1,7;0,0555836
1,8;0,0391714
1,9;0,0270591
2;0,0183225
0;1
0.1;0.99005
0.2;0.960789
0.3;0.913931
0.4;0.852144
0.5;0.778801
0.6;0.697676
0.7;0.612627
0.8;0.527293
0.9;0.444859
1;0.367881
1.1;0.2982
1.2;0.236931
1.3;0.184524
1.4;0.140864
1.5;0.105406
1.6;0.0773117
1.7;0.0555836
1.8;0.0391714
1.9;0.0270591
2;0.0183225
0;1
0.1;0.99005
0.2;0.960789
0.3;0.913931
0.4;0.852144
0.5;0.778801
0.6;0.697676
0.7;0.612627
0.8;0.527293
0.9;0.444859
1;0.367881
1.1;0.2982
1.2;0.236931
1.3;0.184524
1.4;0.140864
1.5;0.105406
1.6;0.0773117
1.7;0.0555836
1.8;0.0391714
1.9;0.0270591
2;0.0183225
0;1
0.1;0.99005
0.2;0.960789
0.3;0.913931
0.4;0.852144
0.5;0.778801
0.6;0.697676
0.7;0.612627
0.8;0.527293
0.9;0.444859
1;0.367881
1.1;0.2982
1.2;0.236931
1.3;0.184524
1.4;0.140864
1.5;0.105406
1.6;0.0773117
1.7;0.0555836
1.8;0.0391714
1.9;0.0270591
2;0.0183225
0;1
0.1;0.99005
0.2;0.960789
0.3;0.913931
0.4;0.852144
0.5;0.778801
0.6;0.697676
0.7;0.612627
0.8;0.527293
0.9;0.444859
1;0.367881
1.1;0.2982
1.2;0.236931
1.3;0.184524
1.4;0.140864
1.5;0.105406
1.6;0.0773117
1.7;0.0555836
1.8;0.0391714
1.9;0.0270591
2;0.0183225
0;1
0.1;0.99005
0.2;0.960789
0.3;0.913931
0.4;0.852144
0.5;0.778801
0.6;0.697676
0.7;0.612627
0.8;0.527293
0.9;0.444859
1;0.367881
1.1;0.2982
1.2;0.236931
1.3;0.184524
1.4;0.140864
1.5;0.105406
1.6;0.0773117
1.7;0.0555836
1.8;0.0391714
1.9;0.0270591
2;0.0183225
